game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto Max,2013-01-18,"[8, 16, 17, 28, 32, 34, 47]",19,,2025-06-13T18:58:58.545916,173
Lotto Max,2013-01-25,"[1, 18, 19, 29, 31, 32, 46]",36,,2025-06-13T18:58:58.545916,174
Lotto Max,2013-02-01,"[5, 9, 10, 32, 37, 44, 46]",38,,2025-06-13T18:58:58.545916,175
Lotto Max,2013-02-08,"[3, 8, 13, 30, 38, 45, 47]",10,,2025-06-13T18:58:58.545916,176
Lotto Max,2013-02-15,"[14, 23, 24, 25, 28, 41, 45]",37,,2025-06-13T18:58:58.545916,177
Lotto Max,2013-02-22,"[5, 12, 24, 31, 39, 45, 49]",35,,2025-06-13T18:58:58.545916,178
Lotto Max,2013-03-01,"[1, 2, 5, 6, 38, 39, 46]",33,,2025-06-13T18:58:58.545916,179
Lotto Max,2013-03-08,"[9, 15, 17, 28, 35, 39, 41]",36,,2025-06-13T18:58:58.545916,180
Lotto Max,2013-03-15,"[9, 16, 17, 19, 22, 41, 43]",12,,2025-06-13T18:58:58.545916,181
Lotto Max,2013-03-22,"[7, 12, 16, 19, 21, 24, 47]",34,,2025-06-13T18:58:58.545916,182
Lotto Max,2013-03-29,"[8, 11, 12, 13, 22, 33, 47]",7,,2025-06-13T18:58:58.545916,183
Lotto Max,2013-04-05,"[2, 14, 15, 17, 24, 38, 40]",31,,2025-06-13T18:58:58.545916,184
Lotto Max,2013-04-12,"[3, 6, 37, 40, 42, 44, 48]",18,,2025-06-13T18:58:58.545916,185
Lotto Max,2013-04-19,"[2, 3, 8, 20, 28, 31, 34]",42,,2025-06-13T18:58:58.545916,186
Lotto Max,2013-04-26,"[10, 13, 15, 18, 25, 36, 47]",40,,2025-06-13T18:58:58.545916,187
Lotto Max,2013-05-03,"[4, 6, 21, 26, 30, 34, 35]",39,,2025-06-13T18:58:58.545916,188
Lotto Max,2013-05-10,"[3, 10, 19, 21, 27, 35, 36]",49,,2025-06-13T18:58:58.545916,189
Lotto Max,2013-05-17,"[8, 18, 21, 27, 33, 46, 49]",26,,2025-06-13T18:58:58.545916,190
Lotto Max,2013-05-24,"[9, 19, 21, 24, 39, 43, 48]",6,,2025-06-13T18:58:58.545916,191
Lotto Max,2013-05-31,"[5, 7, 10, 15, 22, 45, 47]",23,,2025-06-13T18:58:58.545916,192
Lotto Max,2013-06-07,"[5, 19, 24, 34, 35, 38, 43]",8,,2025-06-13T18:58:58.545916,193
Lotto Max,2013-06-14,"[2, 12, 15, 18, 21, 22, 25]",5,,2025-06-13T18:58:58.545916,194
Lotto Max,2013-06-21,"[2, 9, 12, 13, 27, 28, 36]",20,,2025-06-13T18:58:58.545916,195
Lotto Max,2013-06-28,"[2, 7, 15, 38, 43, 44, 47]",1,,2025-06-13T18:58:58.545916,196
Lotto Max,2013-07-05,"[5, 12, 15, 39, 44, 46, 49]",18,,2025-06-13T18:58:58.545916,197
Lotto Max,2013-07-12,"[14, 16, 17, 36, 45, 46, 48]",7,,2025-06-13T18:58:58.545916,198
Lotto Max,2013-07-19,"[3, 17, 19, 20, 34, 35, 43]",4,,2025-06-13T18:58:58.545916,199
Lotto Max,2013-07-26,"[5, 9, 12, 18, 24, 35, 42]",17,,2025-06-13T18:58:58.545916,200
Lotto Max,2013-08-02,"[2, 9, 23, 29, 30, 34, 43]",40,,2025-06-13T18:58:58.545916,201
Lotto Max,2013-08-09,"[6, 15, 19, 26, 43, 44, 49]",30,,2025-06-13T18:58:58.545916,202
Lotto Max,2013-08-16,"[2, 6, 20, 22, 30, 34, 49]",45,,2025-06-13T18:58:58.545916,203
Lotto Max,2013-08-23,"[5, 6, 10, 17, 22, 36, 48]",3,,2025-06-13T18:58:58.545916,204
Lotto Max,2013-08-30,"[6, 19, 20, 25, 31, 35, 36]",45,,2025-06-13T18:58:58.545916,205
Lotto Max,2013-09-06,"[1, 7, 23, 36, 37, 39, 41]",33,,2025-06-13T18:58:58.545916,206
